"GPS data from Augustine volcano (Cervelli et al. GRL. 2006)"
%SITE	X(UTM)	Y(UTM)	E(m)	StdE(m)	N(m)	StdN(m)	U(m)	StdU(m)
QEMD	-31982	-15386	0.00232	0.00027	0.00085	0.00035	-0.00187	0.00216
HORT	-69775	-30516	0.00145	0.00036	0.00064	0.00042	-0.00377	0.00245
PTRP	-49080	-43242	0.00127	0.00023	0.00085	0.00028	-0.00320	0.00253
PIED	-18225	-44284	0.00128	0.00014	0.00004	0.00018	-0.00228	0.00106
AZGR	-16558	30505	0.00473	0.00010	0.00011	0.00010	-0.00277	0.00070
NOV1	58986	-4639	0.00305	0.00009	0.00090	0.00009	-0.00282	0.00059
TERC	58611	-10915	0.00298	0.00016	0.00083	0.00019	-0.00377	0.00098
SRPC	54045	-17100	0.00349	0.00008	0.00090	0.00009	-0.00352	0.00066
